tribunal_enc,tema_enc,taxa_vitoria_juiz,taxa_vitoria_tribunal,taxa_vitoria_tema,prec_norm,qualidade_provas,segundo_grau,label,numero_processo
0,884,0.5652173913043478,0.6465798045602605,0.8166351606805293,1.0,1,0,0,00002465420218010002
0,365,0.6896551724137931,0.6465798045602605,0.5380434782608695,1.0,1,0,1,00002466220238010009
0,22,0.6209677419354839,0.6465798045602605,0.7890127388535032,1.0,1,0,1,00002466420208010010
0,883,0.9005847953216374,0.6465798045602605,0.7551020408163265,1.0,1,0,1,00002467320208010007
0,22,0.8361581920903954,0.6465798045602605,0.7890127388535032,1.0,1,0,1,00002468020238010003
0,111,0.8361581920903954,0.6465798045602605,0.781563126252505,1.0,1,0,1,00002470220228010003
0,29,0.9005847953216374,0.6465798045602605,0.7694174757281553,1.0,1,0,1,00002471920248010007
0,112,0.47368421052631576,0.6465798045602605,0.7875751503006012,1.0,1,0,0,00002473720208010014
0,361,0.7666666666666667,0.6465798045602605,0.9797297297297297,0.7,1,0,1,00002475920238010005
0,996,0.5588235294117647,0.6465798045602605,0.6035502958579881,1.0,1,0,1,00002477220228010012
0,717,0.42424242424242425,0.6465798045602605,0.4684431977559607,1.0,1,0,0,00002479720218010015
0,172,0.9005847953216374,0.6465798045602605,0.5335570469798657,1.0,1,0,1,00002480420248010007
0,344,0.8087431693989071,0.6465798045602605,0.6033519553072626,0.5333333333333333,1,0,1,00002481120238010016
0,209,0.8087431693989071,0.6465798045602605,0.7258064516129032,1.0,1,0,1,00002481620208010016
0,22,0.47368421052631576,0.6465798045602605,0.7890127388535032,1.0,1,0,0,00002481720238010014
0,884,0.5652173913043478,0.6465798045602605,0.8166351606805293,1.0,1,0,0,00002482420218010002
0,174,0.7027027027027027,0.6465798045602605,0.7131313131313132,1.0,1,0,1,00002482720218010001
0,1170,0.8361581920903954,0.6465798045602605,0.9285714285714286,1.0,1,0,1,00002485020238010003
0,341,0.4230769230769231,0.6465798045602605,0.7411764705882353,1.0,1,0,1,00002485120228010014
0,96,0.7941176470588235,0.6465798045602605,0.7434701492537313,1.0,1,0,0,00002485620238010001
0,96,0.7962962962962963,0.6465798045602605,0.7434701492537313,1.0,1,0,1,00002485820208010002
0,27,0.8361581920903954,0.6465798045602605,0.760806916426513,1.0,1,0,1,00002488420228010003
0,103,0.47368421052631576,0.6465798045602605,0.7142857142857143,1.0,1,0,0,00002488520218010014
0,27,0.7962962962962963,0.6465798045602605,0.760806916426513,1.0,1,0,1,00002488720228010002
0,112,0.8928571428571429,0.6465798045602605,0.7875751503006012,1.0,1,0,1,00002491220218010001
0,509,0.5588235294117647,0.6465798045602605,0.8461538461538461,1.0,1,0,1,00002491320208010012
0,427,0.6133333333333333,0.6465798045602605,0.8,1.0,1,0,1,00002492020238010008
0,717,0.9005847953216374,0.6465798045602605,0.4684431977559607,1.0,1,0,0,00002492320238010007
0,22,0.8361581920903954,0.6465798045602605,0.7890127388535032,1.0,1,0,1,00002493520238010003
0,501,0.5531914893617021,0.6465798045602605,1.0,1.0,1,0,1,00002493920228010013
0,84,0.8361581920903954,0.6465798045602605,1.0,1.0,1,0,1,00002496920228010003
0,96,0.6814814814814815,0.6465798045602605,0.7434701492537313,1.0,1,0,0,00002497920218010011
0,24,0.8087431693989071,0.6465798045602605,0.5517241379310345,1.0,1,0,1,00002499820208010016
0,1127,0.8361581920903954,0.6465798045602605,0.7666666666666667,1.0,1,0,0,00002499820248010003
0,38,0.9117647058823529,0.6465798045602605,0.6812227074235808,1.0,1,0,1,00002502620238010001
0,12,0.7757009345794392,0.6465798045602605,0.5714285714285714,1.0,1,0,0,00002507020218010009
